TenantId;QueryId;ArrivalOrder;ArrivalTime;ArrivalTimeInterval
6;78;1;28,17;28
6;34;2;28,64;28
6;89;3;29,91;29
6;93;4;30,07;30
6;44;5;31,13;31
6;58;6;32,05;32
6;69;7;32,20;32
6;40;8;33,22;33
6;27;9;33,35;33
6;67;10;34,80;34
6;45;11;34,82;34
6;44;12;34,88;34
6;19;13;34,97;34
6;33;14;35,08;35
6;27;15;35,21;35
6;65;16;35,32;35
6;31;17;35,40;35
6;18;18;35,45;35
6;89;19;35,47;35
6;8;20;35,64;35
6;87;21;35,70;35
6;15;22;35,70;35
6;45;23;35,76;35
6;58;24;35,95;35
6;89;25;35,97;35
6;17;26;36,02;36
6;96;27;36,21;36
6;23;28;36,47;36
6;61;29;36,62;36
6;20;30;36,76;36
6;70;31;36,87;36
6;54;32;36,94;36
6;15;33;36,97;36
6;72;34;36,98;36
6;61;35;37,07;37
6;48;36;37,11;37
6;82;37;37,22;37
6;14;38;37,23;37
6;81;39;37,28;37
6;89;40;37,40;37
6;89;41;37,70;37
6;75;42;37,71;37
6;12;43;37,72;37
6;97;44;37,74;37
6;88;45;37,75;37
6;61;46;38,04;38
6;19;47;38,16;38
6;61;48;38,21;38
6;5;49;38,22;38
6;36;50;38,32;38
6;44;51;38,34;38
6;53;52;38,43;38
6;96;53;38,43;38
6;99;54;38,47;38
6;62;55;38,53;38
6;90;56;38,64;38
6;82;57;38,77;38
6;2;58;38,91;38
6;41;59;39,03;39
6;75;60;39,21;39
6;6;61;39,26;39
6;36;62;39,28;39
6;17;63;39,45;39
6;97;64;39,50;39
6;99;65;39,93;39
6;89;66;39,98;39
6;97;67;40,14;40
6;36;68;40,17;40
6;29;69;40,21;40
