query_stream_id,query_id,start,relative_start,query_duration,query_duration_with_queue,start_delay
16,11,1733228685567,12391,4557,8252,4
16,9,1733228712440,39264,7137,12189,0
16,7,1733228767187,94011,2103,3571,1
16,16,1733228807770,134594,1665,2690,0
16,20,1733228819784,146608,5600,8883,0
16,8,1733228858155,184979,2343,3854,0
16,23,1733228900644,227468,1555,1621,0
16,23,1733228939722,266546,2273,2331,0
16,23,1733228985612,312436,1552,1624,0
16,9,1733229012678,339502,2580,4263,0
16,20,1733229034035,360859,2224,5169,0
16,23,1733229078570,405394,1334,1397,0
16,12,1733229107932,434756,3297,6572,1
16,10,1733229155394,482218,1696,3104,0
16,7,1733229200357,527181,1218,3693,0
16,9,1733229223850,550674,5540,7842,0
16,17,1733229265834,592658,1791,3399,0
16,11,1733229286147,612971,1583,2841,0
16,9,1733229342753,669577,2473,5172,1
16,7,1733229368655,695479,1850,3306,0
16,9,1733229402399,729223,3172,4919,0
16,4,1733229441632,768456,1656,5076,0
16,9,1733229490837,817661,5644,9142,0
16,10,1733229502486,829310,2015,4083,0
16,23,1733229544796,871620,3337,3419,0
16,5,1733229583574,910398,3648,5949,0
16,9,1733229612439,939263,4513,6908,0
16,1,1733229670632,997456,2170,4262,0
16,2,1733229705492,1032316,3056,4801,0
16,3,1733229726143,1052967,1488,3028,0
16,3,1733229759672,1086496,1537,3013,0
16,18,1733229821052,1147876,2499,4503,0
16,16,1733229855496,1182320,3053,4152,0
16,3,1733229884252,1211076,1596,3792,0
16,16,1733229926231,1253055,1618,2575,0
16,3,1733229956483,1283307,1492,2993,1
16,3,1733229979894,1306718,1639,3036,1
16,18,1733230021122,1347946,2376,4157,0
16,10,1733230051036,1377860,1782,4269,0
16,17,1733230097217,1424041,2847,5227,1
16,3,1733230134388,1461212,1705,3309,0
16,12,1733230178475,1505299,1251,2282,0
16,21,1733230186650,1513474,5102,9279,0
16,2,1733230227595,1554419,2012,3580,0
16,11,1733230278006,1604830,1349,2295,0
16,15,1733230297940,1624764,1219,2057,0
16,9,1733230335094,1661918,2286,3960,1
16,4,1733230368768,1695592,1183,2090,0
16,8,1733230410609,1737433,1976,3648,0
16,1,1733230460138,1786962,2611,4827,0
16,16,1733230480681,1807505,1318,2173,0
16,17,1733230537399,1864223,1830,3488,0
16,14,1733230547521,1874345,1297,2424,1
16,10,1733230593022,1919846,2977,4640,0
16,15,1733230643785,1970609,1363,2466,0
16,17,1733230674257,2001081,1788,3304,0
16,10,1733230698366,2025190,3455,7405,1
16,22,1733230747456,2074280,10886,14758,0
16,22,1733230772992,2099816,4261,8780,0
16,12,1733230818301,2145125,1222,2244,1
16,17,1733230839260,2166084,1489,2979,0
16,13,1733230903335,2230159,1056,2497,1
16,19,1733230910152,2236976,1057,1782,0
16,11,1733230943728,2270552,918,1590,0
16,12,1733230980227,2307051,2935,3985,0
16,14,1733231038536,2365360,3990,5411,0
16,18,1733231053291,2380115,5719,8329,0
16,20,1733231101758,2428582,8082,11815,0
16,14,1733231140008,2466832,1753,3195,1
16,2,1733231166163,2492987,2239,4723,0
16,13,1733231219957,2546781,2045,3929,0
16,18,1733231249335,2576159,6010,8127,1
16,3,1733231279048,2605872,3588,6586,0
16,18,1733231327283,2654107,2326,7286,0
16,22,1733231350117,2676941,4696,10661,0
16,18,1733231373767,2700591,3040,8473,0
16,8,1733231433911,2760735,4397,6324,1
16,19,1733231452490,2779314,1218,5189,0
16,23,1733231493308,2820132,2370,2421,0
16,5,1733231537927,2864751,3573,9266,0
16,22,1733231560845,2887669,6021,10870,1
16,13,1733231619367,2946191,4489,6257,0
16,13,1733231650200,2977024,2636,3837,0
16,2,1733231696430,3023254,2527,6085,1
16,3,1733231704173,3030997,1949,4300,1
16,13,1733231733896,3060720,2360,3545,0
16,16,1733231777198,3104022,3851,5640,0
16,22,1733231813773,3140597,8564,14270,1
16,8,1733232047786,3374610,2342,3867,1
16,22,1733232061555,3388379,6118,11906,0
16,7,1733232098472,3425296,3068,8040,0
16,19,1733232163949,3490773,1108,1926,1
16,10,1733232179193,3506017,4694,6633,0
16,4,1733232221457,3548281,2299,3913,0
16,20,1733232241255,3568079,2662,4760,0
