query_stream_id,query_id,start,relative_start,query_duration,query_duration_with_queue,start_delay
4,11,1733317487354,548801,6321,7606,1
4,19,1733317498051,559498,1386,1814,0
4,12,1733317499001,560448,1601,3392,0
4,19,1733317505184,566631,532,831,0
4,16,1733317508528,569975,1754,2444,0
4,13,1733317516442,577889,1328,2263,0
4,14,1733317543666,605113,761,1088,1
4,21,1733317555202,616649,3696,5974,1
4,14,1733317565619,627066,267,525,0
4,12,1733317580497,641944,1169,2059,0
4,9,1733317592048,653495,1783,2782,0
4,20,1733317598036,659483,2183,3815,0
4,3,1733317630637,692084,1749,3313,0
4,6,1733317645334,706781,496,666,1
4,9,1733317651035,712482,1070,2046,0
4,21,1733317661157,722604,2585,4361,0
4,18,1733317680588,742035,2234,3392,0
4,23,1733317710453,771900,878,948,0
4,14,1733317734238,795685,605,892,0
4,15,1733317735905,797352,1891,2906,0
4,17,1733317739197,800644,2069,3689,1
4,4,1733317746708,808155,1223,2196,1
4,11,1733317762880,824327,963,1521,1
4,20,1733317773828,835275,1740,3361,0
4,19,1733317774179,835626,606,3970,0
4,19,1733317785925,847372,210,421,0
4,16,1733317792439,853886,1347,1954,0
4,2,1733317800988,862435,1079,1821,0
4,1,1733317803230,864677,1306,2280,0
4,15,1733317826385,887832,1414,2431,1
4,19,1733317841150,902597,561,808,0
4,20,1733317844171,905618,1664,3198,0
4,18,1733317867952,929399,2280,3373,0
4,16,1733317880912,942359,1642,2280,1
4,19,1733317898697,960144,208,412,0
4,22,1733317905905,967352,770,1394,0
4,12,1733317907362,968809,1237,2054,0
4,2,1733317915104,976551,1101,1842,0
4,8,1733317922056,983503,912,1462,1
4,14,1733317925877,987324,703,974,1
4,4,1733317951571,1013018,1260,2170,0
4,17,1733317971578,1033025,2072,3197,0
4,21,1733318016394,1077841,2788,4588,0
4,7,1733318018964,1080411,1148,3895,0
4,1,1733318072970,1134417,1323,2422,0
4,21,1733318092371,1153818,2166,4127,1
4,9,1733318127103,1188550,1372,2303,1
4,22,1733318169477,1230924,697,1271,0
4,20,1733318178002,1239449,1666,3488,0
4,23,1733318205532,1266979,469,528,0
4,9,1733318239172,1300619,1047,1939,0
4,2,1733318279222,1340669,980,1695,0
4,18,1733318320537,1381984,2180,3219,0
