TenantId;QueryId;ArrivalOrder;ArrivalTime;ArrivalTimeInterval
4;59;1;25,01;25
4;4;2;26,61;26
4;11;3;27,08;27
4;4;4;27,63;27
4;54;5;27,90;27
4;18;6;27,95;27
4;14;7;29,56;29
4;49;8;29,70;29
4;8;9;30,33;30
4;29;10;30,39;30
4;33;11;31,68;31
4;14;12;32,28;32
4;11;13;33,39;33
4;33;14;34,40;34
4;54;15;34,43;34
4;48;16;35,45;35
4;8;17;37,93;37
4;39;18;38,70;38
4;31;19;39,11;39
4;56;20;39,26;39
4;44;21;40,34;40
4;25;22;40,64;40
4;56;23;43,00;42
4;18;24;43,11;43
4;24;25;43,71;43
4;48;26;45,73;45
4;4;27;46,83;46
4;14;28;47,03;47
4;8;29;47,16;47
4;11;30;47,29;47
4;49;31;47,39;47
4;9;32;47,44;47
4;46;33;48,39;48
4;49;34;48,98;48
4;29;35;49,19;49
4;46;36;50,49;50
4;31;37;50,77;50
4;56;38;52,81;52
4;46;39;52,95;52
4;13;40;54,34;54
4;49;41;56,08;56
4;39;42;57,41;57
4;18;43;57,42;57
4;24;44;57,44;57
4;59;45;59,69;59
4;17;46;61,70;61
4;49;47;62,27;62
4;58;48;62,54;62
