queryId;ExecTime
1;12314
2;5727
3;3050
4;21279
5;5516
6;1905
7;2622
8;2531
9;3300
10;3315
11;9905
12;1637
13;2450
14;25923
15;2679
16;2068
17;5178
18;2871
19;2592
20;1537
21;2594
22;10355
23;28364
24;12904
25;3458
26;1787
27;2330
28;4593
29;3761
30;2941
31;5434
32;1755
33;2751
34;1837
35;4790
36;2099
37;2076
38;5978
39;9831
40;1928
41;394
42;1056
43;1177
44;2047
45;2171
46;2659
47;3670
48;1836
49;3939
50;5809
51;7016
52;1360
53;1501
54;2523
55;1338
56;2562
57;2912
58;2784
59;2669
60;1662
61;229
62;1134
63;1070
64;9007
65;4996
66;2778
67;11447
68;3085
69;2746
70;2398
71;1859
72;8705
73;1704
74;7488
75;7550
76;2107
77;2995
78;11679
79;2086
80;6884
81;3074
82;2611
83;1577
84;1391
85;3273
86;1038
87;6142
88;4931
89;1567
90;1012
91;1590
92;1188
93;4220
94;1267
95;1045
96;1231
97;7320
98;1493
99;1507
