queryId;ExecTime
1;6465
2;2179
3;967
4;4953
5;2159
6;1321
7;1329
8;1216
9;1412
10;1949
11;2730
12;621
13;1220
14;11800
15;862
16;294
17;2139
18;1606
19;1151
20;578
21;1624
22;1370
23;8105
24;357
25;1791
26;842
27;1409
28;3574
29;1831
30;515
31;2678
32;793
33;1589
34;856
35;1798
36;1301
37;191
38;1828
39;2183
40;809
41;266
42;743
43;846
44;1279
45;423
46;1199
47;2558
48;1125
49;1254
50;1490
51;2572
52;741
53;1158
54;1147
55;764
56;1558
57;1359
58;1454
59;1609
60;1737
61;219
62;892
63;1173
64;2782
65;2031
66;1267
67;2238
68;1335
69;1649
70;1713
71;981
72;4307
73;974
74;2254
75;3181
76;1279
77;1254
78;2727
79;1166
80;1923
81;532
82;1350
83;541
84;759
85;1562
86;581
87;2213
88;3114
89;1348
90;394
91;433
92;679
93;70
94;298
95;763
96;702
97;1691
98;889
99;822
