queryId;type
1;ad-hoc
2;reporting
3;ad-hoc
4;reporting
5;reporting
6;ad-hoc
7;ad-hoc
8;ad-hoc
9;ad-hoc
10;reporting
11;ad-hoc
12;ad-hoc
13;ad-hoc
14;reporting
15;reporting
16;reporting
17;reporting
18;reporting
19;ad-hoc
20;reporting
21;ad-hoc
22;ad-hoc
23;reporting
24;ad-hoc
25;reporting
26;reporting
27;ad-hoc
28;ad-hoc
29;reporting
30;ad-hoc
31;ad-hoc
32;reporting
33;reporting
34;ad-hoc
35;reporting
36;ad-hoc
37;reporting
38;reporting
39;ad-hoc
40;reporting
41;ad-hoc
42;ad-hoc
43;ad-hoc
44;ad-hoc
45;ad-hoc
46;ad-hoc
47;ad-hoc
48;ad-hoc
49;reporting
50;ad-hoc
51;ad-hoc
52;ad-hoc
53;ad-hoc
54;reporting
55;ad-hoc
56;reporting
57;reporting
58;reporting
59;ad-hoc
60;reporting
61;ad-hoc
62;ad-hoc
63;ad-hoc
64;reporting
65;ad-hoc
66;reporting
67;ad-hoc
68;ad-hoc
69;reporting
70;ad-hoc
71;reporting
72;reporting
73;ad-hoc
74;ad-hoc
75;reporting
76;reporting
77;reporting
78;reporting
79;ad-hoc
80;reporting
81;reporting
82;ad-hoc
83;reporting
84;ad-hoc
85;ad-hoc
86;ad-hoc
87;reporting
88;ad-hoc
89;ad-hoc
90;ad-hoc
91;reporting
92;ad-hoc
93;ad-hoc
94;ad-hoc
95;ad-hoc
96;ad-hoc
97;reporting
98;ad-hoc
99;reporting
