Time Unit;Tenant 1;Tenant 2;Tenant 3;Tenant 4;Tenant 5;Tenant 6;Tenant 7;Tenant 8;Tenant 9;Tenant 10;Tenant 11;Tenant 12;Tenant 13;Tenant 14;Tenant 15;Tenant 16;Tenant 17;Tenant 18;Tenant 19;Tenant 20
0;2;;;;;;;;;;;;;;;;;;;
1;1;;;;;;;;;;;;;;;;;;;
2;7;;;;;;;;;;;;;;;;;;;
3;14;;;;;;;;;;;;;;;;;;;
4;2;;;;;;;;;;;;;;;;;;;
13;;1;;;;;;;;;;;;;;;;;;
14;;2;;;;;;;;;;;;;;;;;;
15;;12;;;;;;;;;;;;;;;;;;
16;;3;;;;;;;;;;;;;;;;;;
17;;1;;;;;;;;;;;;;;;;;;
18;;1;;;;;;;;;;;;;;;;;;
19;;1;;;;;;;;;;;;;;;;;;
20;;6;1;;;;;;;;;;;;;;;;;
21;;3;1;;;;;;;;;;;;;;;;;
22;;25;1;;;;;;;;;;;;;;;;;
23;;18;2;;;;;;;;;;;;;;;;;
24;;;1;;;;;;;;;;;;;;;;;
25;;;4;1;;;;;;;;;;;;;;;;
26;;;1;1;;;;;;;;;;;;;;;;
27;;;0;4;2;;;;;;;;;;;;;;;
28;;;9;0;9;2;;;;;;;;;;;;;;
29;;;7;2;3;1;;;;;;;;;;;;;;
30;;;7;2;1;1;;;;;;;;;;;;;;
31;;;4;1;1;1;;;;;;;;;;;;;;
32;;;;1;6;2;;;;;;;;;;;;;;
33;;;;1;9;2;;;;;;;;;;;;;;
34;;;;2;5;4;2;;;;;;;;;;;;;
35;;;;1;;12;23;;;;;;;;;;;;;
36;;;;0;;9;29;1;;;;;;;;;;;;
37;;;;1;;11;;2;;;;;;;;;;;;
38;;;;1;;13;;2;;;;;;;;;;;;
39;;;;2;;8;;1;;;;;;;;;;;;
40;;;;2;;3;;1;;;;;;;;;;;;
41;;;;0;;;;12;;;;;;;;;;;;
42;;;;1;;;;9;;;;;;;;;;;;
43;;;;2;;;;6;;;;;;;;;;;;
44;;;;0;;;;4;;;;;;;;;;;;
45;;;;1;;;;8;1;;;;;;;;;;;
46;;;;1;;;;6;9;;;;;;;;;;;
47;;;;5;;;;9;8;6;;;;;;;;;;
48;;;;2;;;;10;;6;;;;;;;;;;
49;;;;1;;;;6;;;;;;;;;;;;
50;;;;2;;;;5;;;;;;;;;;;;
51;;;;0;;;;12;;;2;1;;;;;;;;
52;;;;2;;;;2;;;1;1;12;;;;;;;
53;;;;0;;;;;;;0;1;14;1;;;;;;
54;;;;1;;;;;;;2;2;22;11;;;;;;
55;;;;0;;;;;;;1;1;16;10;1;;;;;
56;;;;1;;;;;;;5;0;2;10;1;;;;;
57;;;;3;;;;;;;10;4;;9;2;2;;;;
58;;;;0;;;;;;;13;1;;10;0;2;;;;
59;;;;1;;;;;;;5;1;;3;1;1;4;;;
60;;;;0;;;;;;;5;0;;5;6;3;4;5;1;
61;;;;1;;;;;;;1;0;;4;1;1;0;40;11;
62;;;;2;;;;;;;;1;;3;1;10;6;19;;
63;;;;;;;;;;;;1;;;1;6;2;;;
64;;;;;;;;;;;;0;;;0;11;0;;;
65;;;;;;;;;;;;0;;;1;6;1;;;
66;;;;;;;;;;;;0;;;2;1;4;;;13
67;;;;;;;;;;;;1;;;5;1;0;;;16
68;;;;;;;;;;;;0;;;9;0;5;;;15
69;;;;;;;;;;;;0;;;6;3;4;;;1
70;;;;;;;;;;;;1;;;1;0;4;;;11
71;;;;;;;;;;;;1;;;7;3;8;;;1
72;;;;;;;;;;;;0;;;2;2;7;;;1
73;;;;;;;;;;;;4;;;6;1;7;;;3
74;;;;;;;;;;;;1;;;2;9;7;;;
75;;;;;;;;;;;;1;;;1;1;2;;;
76;;;;;;;;;;;;0;;;0;1;;;;
77;;;;;;;;;;;;1;;;2;4;;;;
78;;;;;;;;;;;;0;;;3;11;;;;
79;;;;;;;;;;;;0;;;1;3;;;;
80;;;;;;;;;;;;1;;;4;;;;;
81;;;;;;;;;;;;0;;;3;;;;;
82;;;;;;;;;;;;2;;;1;;;;;
83;;;;;;;;;;;;3;;;4;;;;;
85;;;;;;;;;;;;0;;;6;;;;;
86;;;;;;;;;;;;0;;;1;;;;;
87;;;;;;;;;;;;1;;;0;;;;;
88;;;;;;;;;;;;0;;;7;;;;;
89;;;;;;;;;;;;1;;;2;;;;;
90;;;;;;;;;;;;1;;;;;;;;
91;;;;;;;;;;;;1;;;;;;;;
93;;;;;;;;;;;;3;;;;;;;;
94;;;;;;;;;;;;2;;;;;;;;
95;;;;;;;;;;;;2;;;;;;;;
97;;;;;;;;;;;;2;;;;;;;;
98;;;;;;;;;;;;1;;;;;;;;
99;;;;;;;;;;;;1;;;;;;;;
100;;;;;;;;;;;;1;;;;;;;;
107;;;;;;;;;;;;1;;;;;;;;
108;;;;;;;;;;;;2;;;;;;;;
109;;;;;;;;;;;;2;;;;;;;;
110;;;;;;;;;;;;1;;;;;;;;
112;;;;;;;;;;;;3;;;;;;;;
113;;;;;;;;;;;;2;;;;;;;;
115;;;;;;;;;;;;1;;;;;;;;
