Time Unit;Tenant 4;Tenant 8;Tenant 16
0;;;
1;;;
2;;;
3;;;
4;;;
13;;;
14;;;
15;;;
16;;;
17;;;
18;;;
19;;;
20;;;
21;;;
22;;;
23;;;
24;;;
25;1;;
26;1;;
27;4;;
28;0;;
29;2;;
30;2;;
31;1;;
32;1;;
33;1;;
34;2;;
35;1;;
36;0;1;
37;1;2;
38;1;2;
39;2;1;
40;2;1;
41;0;12;
42;1;9;
43;2;6;
44;0;4;
45;1;8;
46;1;6;
47;5;9;
48;2;10;
49;1;6;
50;2;5;
51;0;12;
52;2;2;
53;0;;
54;1;;
55;0;;
56;1;;
57;3;;2
58;0;;2
59;1;;1
60;0;;3
61;1;;1
62;2;;10
63;;;6
64;;;11
65;;;6
66;;;1
67;;;1
68;;;0
69;;;3
70;;;0
71;;;3
72;;;2
73;;;1
74;;;9
75;;;1
76;;;1
77;;;4
78;;;11
79;;;3
80;;;
81;;;
82;;;
83;;;
85;;;
86;;;
87;;;
88;;;
89;;;
90;;;
91;;;
93;;;
94;;;
95;;;
97;;;
98;;;
99;;;
100;;;
107;;;
108;;;
109;;;
110;;;
112;;;
113;;;
115;;;
