queryId;execTime
1;278
10;823
11;4757
12;57
13;387
14;6157
15;107
16;7997
17;263
18;464
19;131
2;3539
20;88
21;890
22;5558
23;5256
24;17
25;234
26;229
27;320
28;2967
29;461
3;114
30;80
31;2115
32;320
33;556
34;398
35;1347
36;533
37;305
38;3252
39;5990
4;8582
40;106
41;1345
42;104
43;248
44;1358
45;130
46;596
47;3324
48;419
49;1233
5;4233
50;186
51;2258
52;104
53;340
54;1919
55;103
56;565
57;1463
58;590
59;1636
6;298
60;591
61;6
62;116
63;341
64;4515
65;1373
66;382
67;6459
68;418
69;1790
7;313
70;1408
71;509
72;2157
73;330
74;2021
75;1812
76;453
77;649
78;18901
79;507
8;692
80;654
81;135
82;480
83;145
84;138
85;456
86;133
87;3201
88;2790
89;481
9;3587
90;215
91;126
92;100
93;1
94;226
95;8709
96;120
97;1538
98;143
99;225
