queryId;ExecTime
1;11237
2;3919
3;1109
4;8597
5;4230
6;1753
7;3749
8;1623
9;909
10;2371
11;2823
12;1264
13;3004
14;10889
15;1192
16;379
17;4782
18;2024
19;1503
20;1018
21;1204
22;5217
23;8772
24;6526
25;4143
26;987
27;1286
28;1447
29;4212
30;1226
31;2003
32;689
33;1262
34;773
35;2090
36;1177
37;1125
38;2108
39;5395
40;1740
41;393
42;666
43;819
44;249
45;910
46;1129
47;2278
48;913
49;1143
50;3400
51;2576
52;642
53;938
54;1527
55;613
56;1157
57;2081
58;1566
59;1199
60;1037
61;1312
62;754
63;1380
64;3821
65;1870
66;1259
67;3044
68;1448
69;362
70;1244
71;859
72;7624
73;919
74;2262
75;3709
76;967
77;1128
78;4070
79;855
80;3307
81;1058
82;890
83;660
84;1242
85;2672
86;706
87;2080
88;1384
89;929
90;583
91;653
92;623
93;93
94;171
95;332
96;483
97;1770
98;913
99;730
