queryId;scaleFactor;execTime;expectedQCT;perfSLO_premium;perfSLO_standard;perfSLO_basic
q4;10;89240;8924000;8924000;8924000;8924000
q96;10;694;69;690;3450;6900
q20;10;516;51600;51600;51600;51600
q59;10;4843;484;4840;24200;48400
q87;10;25005;2500500;2500500;2500500;2500500
q68;10;1374;137;1370;6850;13700
q81;10;934;93400;93400;93400;93400
q11;10;69892;6989;69890;349450;698900
q16;10;16278;1627800;1627800;1627800;1627800
q90;10;533;53;530;2650;5300
q63;10;863;86;860;4300;8600
q72;10;50033;5003300;5003300;5003300;5003300
q25;10;1211;121100;121100;121100;121100
q80;10;1592;159200;159200;159200;159200
q86;10;2942;294;2940;14700;29400
q10;10;2238;223800;223800;223800;223800
q78;10;103969;10396900;10396900;10396900;10396900
q97;10;15495;1549500;1549500;1549500;1549500
q62;10;851;85;850;4250;8500
q91;10;403;40300;40300;40300;40300
q26;10;777;77700;77700;77700;77700
q49;10;3092;309200;309200;309200;309200
q21;10;2831;283;2830;14150;28300
q67;10;52709;5270;52700;263500;527000
q44;10;664;66;660;3300;6600
q79;10;2781;278;2780;13900;27800
q73;10;1134;113;1130;5650;11300
q27;10;1367;136;1360;6800;13600
q24;10;1430;143;1430;7150;14300
q18;10;1452;145200;145200;145200;145200
q52;10;713;71;710;3550;7100
q43;10;1661;166;1660;8300;16600
q48;10;2619;261;2610;13050;26100
q95;10;116779;11677;116770;583850;1167700
q98;10;894;89;890;4450;8900
q57;10;5979;597900;597900;597900;597900
q54;10;9413;941300;941300;941300;941300
q60;10;1763;176300;176300;176300;176300
q46;10;2669;266;2660;13300;26600
q65;10;9796;979;9790;48950;97900
q71;10;1308;130800;130800;130800;130800
q30;10;597;59;590;2950;5900
q82;10;5102;510;5100;25500;51000
q29;10;1529;152900;152900;152900;152900
q35;10;8417;841700;841700;841700;841700
q76;10;1219;121900;121900;121900;121900
q9;10;8744;874;8740;43700;87400
q41;10;41230;4123;41230;206150;412300
q99;10;1949;194900;194900;194900;194900
q32;10;700;70000;70000;70000;70000
q47;10;9122;912;9120;45600;91200
q7;10;1247;124;1240;6200;12400
q56;10;1545;154500;154500;154500;154500
q93;10;4;0;0;0;0
q75;10;7808;780800;780800;780800;780800
q84;10;390;39;390;1950;3900
q19;10;848;84;840;4200;8400
q13;10;2599;259;2590;12950;25900
q66;10;918;91800;91800;91800;91800
q89;10;1436;143;1430;7150;14300
q22;10;103374;10337;103370;516850;1033700
q51;10;19274;1927;19270;96350;192700
q2;10;22618;2261800;2261800;2261800;2261800
q92;10;458;45;450;2250;4500
q37;10;5388;538800;538800;538800;538800
q14;10;22572;2257200;2257200;2257200;2257200
q74;10;12590;1259;12590;62950;125900
q33;10;1591;159100;159100;159100;159100
q6;10;926;92;920;4600;9200
q50;10;2040;204;2040;10200;20400
q85;10;1310;131;1310;6550;13100
q1;10;1851;185;1850;9250;18500
q38;10;24352;2435200;2435200;2435200;2435200
q70;10;5535;553;5530;27650;55300
q12;10;324;32;320;1600;3200
q15;10;612;61200;61200;61200;61200
q61;10;1797;179;1790;8950;17900
q64;10;6630;663000;663000;663000;663000
q55;10;683;68;680;3400;6800
q36;10;11934;1193;11930;59650;119300
q39;10;68111;6811;68110;340550;681100
q45;10;455;45;450;2250;4500
q40;10;489;48900;48900;48900;48900
q5;10;20421;2042100;2042100;2042100;2042100
q31;10;5916;591;5910;29550;59100
q28;10;7695;769;7690;38450;76900
q34;10;1416;141;1410;7050;14100
q8;10;2680;268;2680;13400;26800
q77;10;1505;150500;150500;150500;150500
q69;10;618;61800;61800;61800;61800
q83;10;405;40500;40500;40500;40500
q42;10;701;70;700;3500;7000
q3;10;698;69;690;3450;6900
q23;10;50850;5085000;5085000;5085000;5085000
q94;10;1260;126;1260;6300;12600
q58;10;1658;165800;165800;165800;165800
q17;10;1222;122200;122200;122200;122200
