queryId;scaleFactor;execTime;expectedQCT;perfSLO_premium;perfSLO_standard;perfSLO_basic
q1;10;11237;11237;112370;561850;1123700
q2;10;3919;3919000;3919000;3919000;3919000
q3;10;1109;1109;11090;55450;110900
q4;10;8597;8597000;8597000;8597000;8597000
q5;10;4230;4230000;4230000;4230000;4230000
q6;10;1753;1753;17530;87650;175300
q7;10;3749;3749;37490;187450;374900
q8;10;1623;1623;16230;81150;162300
q9;10;909;909;9090;45450;90900
q10;10;2371;2371000;2371000;2371000;2371000
q11;10;2823;2823;28230;141150;282300
q12;10;1264;1264;12640;63200;126400
q13;10;3004;3004;30040;150200;300400
q14;10;10889;10889000;10889000;10889000;10889000
q15;10;1192;1192000;1192000;1192000;1192000
q16;10;379;379000;379000;379000;379000
q17;10;4782;4782000;4782000;4782000;4782000
q18;10;2024;2024000;2024000;2024000;2024000
q19;10;1503;1503;15030;75150;150300
q20;10;1018;1018000;1018000;1018000;1018000
q21;10;1204;1204;12040;60200;120400
q22;10;5217;5217;52170;260850;521700
q23;10;8772;8772000;8772000;8772000;8772000
q24;10;6526;6526;65260;326300;652600
q25;10;4143;4143000;4143000;4143000;4143000
q26;10;987;987000;987000;987000;987000
q27;10;1286;1286;12860;64300;128600
q28;10;1447;1447;14470;72350;144700
q29;10;4212;4212000;4212000;4212000;4212000
q30;10;1226;1226;12260;61300;122600
q31;10;2003;2003;20030;100150;200300
q32;10;689;689000;689000;689000;689000
q33;10;1262;1262000;1262000;1262000;1262000
q34;10;773;773;7730;38650;77300
q35;10;2090;2090000;2090000;2090000;2090000
q36;10;1177;1177;11770;58850;117700
q37;10;1125;1125000;1125000;1125000;1125000
q38;10;2108;2108000;2108000;2108000;2108000
q39;10;5395;5395;53950;269750;539500
q40;10;1740;1740000;1740000;1740000;1740000
q41;10;393;393;3930;19650;39300
q42;10;666;666;6660;33300;66600
q43;10;819;819;8190;40950;81900
q44;10;249;249;2490;12450;24900
q45;10;910;910;9100;45500;91000
q46;10;1129;1129;11290;56450;112900
q47;10;2278;2278;22780;113900;227800
q48;10;913;913;9130;45650;91300
q49;10;1143;1143000;1143000;1143000;1143000
q50;10;3400;3400;34000;170000;340000
q51;10;2576;2576;25760;128800;257600
q52;10;642;642;6420;32100;64200
q53;10;938;938;9380;46900;93800
q54;10;1527;1527000;1527000;1527000;1527000
q55;10;613;613;6130;30650;61300
