queryId;ExecTime
4;29613
96;280
20;182
59;2807
87;5857
68;565
81;39087
11;18374
16;4380
90;205
63;306
72;11612
25;425
80;817
86;757
10;1250870
78;64865
97;2734
62;333
91;291
26;387
49;1153
21;654
67;12467
44;262
79;7569
73;501
27;569
24;285
18;691
52;253
43;722
48;1217
95;19425
98;315
57;1720
54;2356
60;533
46;741
65;1714
71;468
30;48065
82;1734
29;545
35;3102367
76;391
9;3315
41;587
99;654
32;1018
47;4016
7;555
56;528
93;821
75;2392
84;723
19;291
13;1213
66;337
89;515
22;14282
51;3627
2;5275
92;528
37;302
14;6959
74;2765
33;580
6;206487
50;419
85;789
1;707507
38;4914
70;1809
12;114
15;205
61;10
64;4789
55;278
36;3331
39;8278
45;144
40;180
5;4914
31;7727
28;2681
34;441
8;490
77;620
69;709
83;200
42;259
3;250
23;12497
94;820
58;611
17;443
88;2363
53;346
