tenantName;queryName;timerName;event;TimeStamp
tenant1;q86;Timer-0_tenant1;Launched;16:25:22.019
tenant1;q86;Timer-0_tenant1;Started;16:25:22.019
tenant1;q52;Timer-1_tenant1;Launched;16:25:23.159
tenant1;q52;Timer-1_tenant1;Started;16:25:23.159
tenant1;q97;Timer-2_tenant1;Launched;16:25:25.739
tenant1;q97;Timer-2_tenant1;Started;16:25:25.739
tenant1;q28;Timer-3_tenant1;Launched;16:25:26.099
tenant1;q97;Timer-4_tenant1;Launched;16:25:26.299
tenant1;q96;Timer-5_tenant1;Launched;16:25:26.360
tenant1;q96;Timer-6_tenant1;Launched;16:25:26.900
tenant1;q96;Timer-7_tenant1;Launched;16:25:27.060
tenant1;q55;Timer-8_tenant1;Launched;16:25:27.839
tenant1;q52;Timer-9_tenant1;Launched;16:25:27.960
tenant1;q15;Timer-11_tenant1;Launched;16:25:28.300
tenant1;q43;Timer-10_tenant1;Launched;16:25:28.300
tenant1;q3;Timer-12_tenant1;Launched;16:25:28.380
tenant1;q80;Timer-13_tenant1;Launched;16:25:28.501
tenant1;q37;Timer-14_tenant1;Launched;16:25:28.661
tenant1;q12;Timer-15_tenant1;Launched;16:25:28.840
tenant1;q55;Timer-16_tenant1;Launched;16:25:28.981
tenant1;q12;Timer-17_tenant1;Launched;16:25:29.063
tenant1;q53;Timer-18_tenant1;Launched;16:25:29.082
tenant1;q81;Timer-19_tenant1;Launched;16:25:29.523
tenant1;q28;Timer-20_tenant1;Launched;16:25:29.702
tenant1;q21;Timer-21_tenant1;Launched;16:25:29.724
tenant1;q63;Timer-22_tenant1;Launched;16:25:29.943
tenant1;q12;Timer-23_tenant1;Launched;16:25:29.944
tenant1;q15;Timer-24_tenant1;Launched;16:25:30.084
tenant1;q21;Timer-25_tenant1;Launched;16:25:30.424
tenant1;q52;Timer-1_tenant1;Finished;16:25:32.706
tenant1;q28;Timer-3_tenant1;Started;16:25:32.706
tenant1;q97;Timer-2_tenant1;Finished;16:25:36.206
tenant1;q97;Timer-4_tenant1;Started;16:25:36.206
tenant1;q86;Timer-0_tenant1;Finished;16:25:36.644
tenant1;q96;Timer-5_tenant1;Started;16:25:36.644
tenant1;q96;Timer-5_tenant1;Finished;16:25:38.805
tenant1;q96;Timer-6_tenant1;Started;16:25:38.805
tenant1;q28;Timer-3_tenant1;Finished;16:25:38.805
tenant1;q96;Timer-7_tenant1;Started;16:25:38.806
tenant1;q96;Timer-6_tenant1;Finished;16:25:39.748
tenant1;q55;Timer-8_tenant1;Started;16:25:39.748
tenant1;q96;Timer-7_tenant1;Finished;16:25:39.831
tenant1;q52;Timer-9_tenant1;Started;16:25:39.831
tenant1;q55;Timer-8_tenant1;Finished;16:25:40.955
