TenantName;QueryNumber;ThreadName;Event;TimeStamp
tenant1;q86;Timer-0;Launched;16:21:23.439
tenant1;q86;Timer-0;Started;16:21:23.439
tenant1;q52;Timer-1;Launched;16:21:24.660
tenant1;q52;Timer-1;Started;16:21:24.660
tenant1;q97;Timer-2;Launched;16:21:27.424
tenant1;q97;Timer-2;Started;16:21:27.424
tenant1;q28;Timer-3;Launched;16:21:27.810
tenant1;q97;Timer-4;Launched;16:21:28.025
tenant1;q96;Timer-5;Launched;16:21:28.090
tenant1;q96;Timer-6;Launched;16:21:28.667
tenant1;q96;Timer-7;Launched;16:21:28.840
tenant1;q55;Timer-8;Launched;16:21:29.675
tenant1;q52;Timer-9;Launched;16:21:29.804
tenant1;q43;Timer-10;Launched;16:21:30.168
tenant1;q15;Timer-11;Launched;16:21:30.169
tenant1;q3;Timer-12;Launched;16:21:30.254
tenant1;q80;Timer-13;Launched;16:21:30.383
tenant1;q37;Timer-14;Launched;16:21:30.555
tenant1;q12;Timer-15;Launched;16:21:30.748
tenant1;q55;Timer-16;Launched;16:21:30.898
tenant1;q12;Timer-17;Launched;16:21:30.986
tenant1;q53;Timer-18;Launched;16:21:31.008
tenant1;q81;Timer-19;Launched;16:21:31.479
tenant1;q28;Timer-20;Launched;16:21:31.672
tenant1;q21;Timer-21;Launched;16:21:31.694
tenant1;q63;Timer-22;Launched;16:21:31.930
tenant1;q12;Timer-23;Launched;16:21:31.930
tenant1;q15;Timer-24;Launched;16:21:32.081
tenant1;q21;Timer-25;Launched;16:21:32.445
tenant1;q52;Timer-1;Finished;16:21:34.516
tenant1;q86;Timer-0;Finished;16:21:34.516
tenant1;q28;Timer-3;Started;16:21:34.517
tenant1;q97;Timer-4;Started;16:21:34.517
tenant1;q28;Timer-3;Finished;16:21:39.394
tenant1;q96;Timer-5;Started;16:21:39.394
tenant1;q96;Timer-5;Finished;16:21:40.504
tenant1;q96;Timer-6;Started;16:21:40.504
tenant1;q97;Timer-2;Finished;16:21:40.878
tenant1;q96;Timer-7;Started;16:21:40.878
tenant1;q96;Timer-7;Finished;16:21:41.540
tenant1;q55;Timer-8;Started;16:21:41.540
tenant1;q96;Timer-6;Finished;16:21:42.372
tenant1;q52;Timer-9;Started;16:21:42.372
tenant1;q97;Timer-4;Finished;16:21:42.648
tenant1;q43;Timer-10;Started;16:21:42.648
tenant1;q55;Timer-8;Finished;16:21:43.055
tenant1;q15;Timer-11;Started;16:21:43.055
tenant1;q43;Timer-10;Finished;16:21:44.553
tenant1;q3;Timer-12;Started;16:21:44.553
tenant1;q52;Timer-9;Finished;16:21:44.593
tenant1;q80;Timer-13;Started;16:21:44.593
tenant1;q3;Timer-12;Finished;16:21:45.499
tenant1;q37;Timer-14;Started;16:21:45.499
tenant1;q15;Timer-11;Finished;16:21:45.759
tenant1;q12;Timer-15;Started;16:21:45.759
tenant1;q37;Timer-14;Finished;16:21:48.181
tenant1;q55;Timer-16;Started;16:21:48.181
tenant1;q12;Timer-15;Finished;16:21:48.785
tenant1;q12;Timer-17;Started;16:21:48.785
tenant1;q55;Timer-16;Finished;16:21:48.929
tenant1;q53;Timer-18;Started;16:21:48.929
tenant1;q80;Timer-13;Finished;16:21:49.638
tenant1;q81;Timer-19;Started;16:21:49.638
tenant1;q12;Timer-17;Finished;16:21:50.179
tenant1;q28;Timer-20;Started;16:21:50.179
tenant1;q53;Timer-18;Finished;16:21:50.191
tenant1;q21;Timer-21;Started;16:21:50.191
tenant1;q81;Timer-19;Finished;16:21:52.191
tenant1;q63;Timer-22;Started;16:21:52.191
tenant1;q28;Timer-20;Finished;16:21:52.321
tenant1;q12;Timer-23;Started;16:21:52.321
tenant1;q21;Timer-21;Finished;16:21:53.055
tenant1;q15;Timer-24;Started;16:21:53.055
tenant1;q12;Timer-23;Finished;16:21:53.439
tenant1;q21;Timer-25;Started;16:21:53.439
tenant1;q63;Timer-22;Finished;16:21:53.907
tenant1;q15;Timer-24;Finished;16:21:54.351
tenant1;q21;Timer-25;Finished;16:21:54.379
