tenantName;queryName;timerName;launchTime;startTime;finishTime;relativeLaunchTime;waitingTime;executionTime
tenant1;q86;Timer-0_tenant1;17:00:11.747;17:00:11.747;17:00:21.884;00:00:00.000;00:00:00.000;00:00:10.137
;q43;Timer-10_tenant1;17:00:16.706;17:00:30.797;17:00:32.293;00:00:04.959;00:00:14.091;00:00:01.496
;q15;Timer-11_tenant1;17:00:16.706;17:00:30.900;17:00:33.369;00:00:04.959;00:00:14.194;00:00:02.469
;q3;Timer-12_tenant1;17:00:16.770;17:00:31.057;17:00:32.131;00:00:05.023;00:00:14.287;00:00:01.074
;q80;Timer-13_tenant1;17:00:16.864;17:00:32.131;17:00:37.767;00:00:05.117;00:00:15.267;00:00:05.636
;q37;Timer-14_tenant1;17:00:16.991;17:00:32.293;17:00:34.900;00:00:05.244;00:00:15.302;00:00:02.607
;q12;Timer-15_tenant1;17:00:17.133;17:00:33.369;17:00:35.769;00:00:05.386;00:00:16.236;00:00:02.400
;q55;Timer-16_tenant1;17:00:17.244;17:00:34.900;17:00:36.327;00:00:05.497;00:00:17.656;00:00:01.427
;q12;Timer-17_tenant1;17:00:17.306;17:00:35.769;17:00:37.325;00:00:05.559;00:00:18.463;00:00:01.556
;q53;Timer-18_tenant1;17:00:17.323;17:00:36.327;17:00:37.920;00:00:05.576;00:00:19.004;00:00:01.593
;q81;Timer-19_tenant1;17:00:17.671;17:00:37.325;17:00:40.245;00:00:05.924;00:00:19.654;00:00:02.920
;q52;Timer-1_tenant1;17:00:12.647;17:00:12.648;17:00:21.884;00:00:00.900;00:00:00.001;00:00:09.236
;q28;Timer-20_tenant1;17:00:17.813;17:00:37.767;17:00:39.843;00:00:06.066;00:00:19.954;00:00:02.076
;q21;Timer-21_tenant1;17:00:17.828;17:00:37.920;17:00:40.814;00:00:06.081;00:00:20.092;00:00:02.894
;q63;Timer-22_tenant1;17:00:18.003;17:00:39.843;17:00:41.361;00:00:06.256;00:00:21.840;00:00:01.518
;q12;Timer-23_tenant1;17:00:18.003;17:00:40.245;17:00:41.353;00:00:06.256;00:00:22.242;00:00:01.108
;q15;Timer-24_tenant1;17:00:18.114;17:00:40.814;17:00:42.191;00:00:06.367;00:00:22.700;00:00:01.377
;q21;Timer-25_tenant1;17:00:18.383;17:00:41.354;17:00:42.900;00:00:06.636;00:00:22.971;00:00:01.546
;q97;Timer-2_tenant1;17:00:14.684;17:00:14.684;17:00:26.775;00:00:02.937;00:00:00.000;00:00:12.091
;q28;Timer-3_tenant1;17:00:14.969;17:00:21.884;17:00:28.258;00:00:03.222;00:00:06.915;00:00:06.374
;q97;Timer-4_tenant1;17:00:15.125;17:00:21.884;17:00:30.899;00:00:03.378;00:00:06.759;00:00:09.015
;q96;Timer-5_tenant1;17:00:15.174;17:00:26.775;17:00:29.097;00:00:03.427;00:00:11.601;00:00:02.322
;q96;Timer-6_tenant1;17:00:15.600;17:00:28.258;17:00:29.128;00:00:03.853;00:00:12.658;00:00:00.870
;q96;Timer-7_tenant1;17:00:15.726;17:00:29.097;17:00:30.204;00:00:03.979;00:00:13.371;00:00:01.107
;q55;Timer-8_tenant1;17:00:16.342;17:00:29.128;17:00:30.797;00:00:04.595;00:00:12.786;00:00:01.669
;q52;Timer-9_tenant1;17:00:16.438;17:00:30.204;17:00:31.057;00:00:04.691;00:00:13.766;00:00:00.853
tenant2;q50;Timer-0_tenant2;08:47:51.854;08:47:51.855;08:48:01.770;15:47:40.107;00:00:00.001;00:00:09.915
;q85;Timer-10_tenant2;08:47:55.440;08:48:10.192;08:48:16.493;15:47:43.693;00:00:14.752;00:00:06.301
