TenantName;QueryNumber;ThreadName;Event;TimeStamp
tenant1;q86;Timer-0;Launched;05:16:29.492
tenant1;q86;Timer-0;Started;05:16:29.692
tenant1;q86;Timer-0;Finished;05:16:30.838
tenant1;q52;Timer-1;Launched;05:16:53.920
tenant1;q52;Timer-1;Started;05:16:53.921
tenant1;q52;Timer-1;Finished;05:16:55.066
tenant1;q97;Timer-2;Launched;05:17:49.209
tenant1;q97;Timer-2;Started;05:17:49.210
tenant1;q97;Timer-2;Finished;05:17:53.152
tenant1;q28;Timer-3;Launched;05:17:56.927
tenant1;q28;Timer-3;Started;05:17:56.928
tenant1;q97;Timer-4;Launched;05:18:01.214
tenant1;q97;Timer-4;Started;05:18:01.222
tenant1;q28;Timer-3;Finished;05:18:01.882
tenant1;q96;Timer-5;Launched;05:18:02.501
tenant1;q96;Timer-5;Started;05:18:02.501
tenant1;q96;Timer-5;Finished;05:18:02.953
tenant1;q97;Timer-4;Finished;05:18:04.849
tenant1;q96;Timer-6;Launched;05:18:14.078
tenant1;q96;Timer-6;Started;05:18:14.079
tenant1;q96;Timer-6;Finished;05:18:14.559
tenant1;q96;Timer-7;Launched;05:18:17.508
tenant1;q96;Timer-7;Started;05:18:17.509
tenant1;q96;Timer-7;Finished;05:18:17.994
tenant1;q55;Timer-8;Launched;05:18:34.224
tenant1;q55;Timer-8;Started;05:18:34.225
tenant1;q55;Timer-8;Finished;05:18:34.689
tenant1;q52;Timer-9;Launched;05:18:36.801
tenant1;q52;Timer-9;Started;05:18:36.802
tenant1;q52;Timer-9;Finished;05:18:37.283
tenant1;q43;Timer-10;Launched;05:18:44.087
tenant1;q15;Timer-11;Launched;05:18:44.087
tenant1;q43;Timer-10;Started;05:18:44.088
tenant1;q15;Timer-11;Started;05:18:44.088
tenant1;q15;Timer-11;Finished;05:18:44.645
tenant1;q43;Timer-10;Finished;05:18:45.364
tenant1;q3;Timer-12;Launched;05:18:45.803
tenant1;q3;Timer-12;Started;05:18:45.804
tenant1;q3;Timer-12;Finished;05:18:46.241
tenant1;q80;Timer-13;Launched;05:18:48.373
tenant1;q80;Timer-13;Started;05:18:48.374
tenant1;q80;Timer-13;Finished;05:18:49.489
tenant1;q37;Timer-14;Launched;05:18:51.803
tenant1;q37;Timer-14;Started;05:18:51.804
tenant1;q37;Timer-14;Finished;05:18:52.417
tenant1;q12;Timer-15;Launched;05:18:55.669
tenant1;q12;Timer-15;Started;05:18:55.670
tenant1;q12;Timer-15;Finished;05:18:55.890
tenant1;q55;Timer-16;Launched;05:18:58.666
tenant1;q55;Timer-16;Started;05:18:58.667
tenant1;q55;Timer-16;Finished;05:18:59.103
tenant1;q12;Timer-17;Launched;05:19:00.383
tenant1;q12;Timer-17;Started;05:19:00.383
tenant1;q12;Timer-17;Finished;05:19:00.595
tenant1;q53;Timer-18;Launched;05:19:00.812
tenant1;q53;Timer-18;Started;05:19:00.813
tenant1;q53;Timer-18;Finished;05:19:01.372
tenant1;q81;Timer-19;Launched;05:19:10.244
tenant1;q81;Timer-19;Started;05:19:10.245
tenant1;q28;Timer-20;Launched;05:19:14.102
tenant1;q28;Timer-20;Started;05:19:14.103
tenant1;q21;Timer-21;Launched;05:19:14.534
tenant1;q21;Timer-21;Started;05:19:14.537
tenant1;q21;Timer-21;Finished;05:19:16.189
tenant1;q28;Timer-20;Finished;05:19:19.136
tenant1;q63;Timer-22;Launched;05:19:19.249
tenant1;q63;Timer-22;Started;05:19:19.249
tenant1;q12;Timer-23;Launched;05:19:19.252
tenant1;q12;Timer-23;Started;05:19:19.253
tenant1;q12;Timer-23;Finished;05:19:19.475
